id,Library,month,text,num of likes,num of comments,num of shares,image,Video,shared,outgoing link
2800,333,10,"During the month of November we will be accepting in date, nonperishable food items to pay for fines*. All donations will be given to the Anaconda Food Bank. This is a great way to pay off your late fees and help the community at the same time! Call 563-6932 or stop in for more information. *Food for fines does not apply to fees for damaged, lost or stolen items.",1,2,0,0,0,0,0
2799,333,10,Movie Night Fri 7 PM in MST ﹞ Hearst Free Library,0,0,0,1,0,0,0
2801,333,10,,4,0,2,1,0,0,0
2802,333,10,Video Game Day Fri 11 AM in MST ﹞ Hearst Free Library,0,0,0,1,0,0,0
2803,333,10,Lego club is tomorrow!,3,2,0,0,0,0,0
2804,333,10,"We are hosting a two part story time for grade school children (recommended for ages 5-11). The first program is today at 4 pm, the second program is on Thursday October 29th, also at 4 pm. The theme is ""It was a dark, dark night....""",1,0,1,0,0,0,0
2805,333,10,The Friends of the Hearst Free Library are selling Herberger's Community Days coupon books. In exchange for your donation of $5 you get a $10 off coupon plus lots of other great deals. The coupons are valid from November 11th-14th. We have the coupon books at the library if you would like to stop in and look one over!,1,0,0,1,0,0,0
2806,333,10,"Toddler Story Time Tue 10:30 AM in MDT ﹞ Hearst Free Library ﹞ Anaconda, MT 3 guests",4,0,0,1,0,0,0
2807,333,10,"Pumpkin Painting 〞 at Hearst Free Library. October 21, 2015 ﹞ 1st Annual Pumpkin Painting was a success!",7,1,0,1,0,0,0
2808,333,10,Pumpkin painting tonight at 6!,0,0,0,0,0,0,0
2809,333,10,Pumpkin Painting @ the Library,4,0,0,1,0,0,0
2810,333,10,Don't forget Lego Club tomorrow. We have new Lego sets!!!!!!,1,0,0,0,0,0,0
2811,333,10,"The Friends of the Library have purchased 4 tickets to the Anaconda Live Concert series! The tickets will be available for ""checkout"" on a first come first serve basis on the day of the concert to patrons who have current library cards in good standing (no late fees or other fines). The first concert is ""A Tribute to Neil Diamond"" on Thursday October 15th. Stop in or call for more information.",5,1,1,0,0,0,0
2812,333,10,,13,0,0,1,0,0,0
2813,333,10,Movie Night: Hotel Transylvania,1,0,0,1,0,0,0
2814,333,10,"We will be closed on Monday, October 12th for Columbus Day.",1,0,0,0,0,0,0
2815,333,10,,8,1,0,1,0,0,0
2816,333,10,Do you read banned books? We do! Stop in today and check out a banned/challenged book to celebrate your freedom to read! Is your favorite book on the list? Find out here: http://www.ala.org/bbooks/,1,0,0,1,0,0,1
2817,333,10,,12,0,0,1,0,0,0
2818,333,9,Be sure to stop by tomorrow between 3-5 to welcome our new Director Sam Walters.,5,0,0,0,0,0,0
2819,333,9,"We are interested in starting a toddler story hour on Tuesdays at 10:30 am. We would love to have your input on what kind of program it should be and if Tuesdays @ 10:30 is an ideal day and time! Please comment, message, email (hfl.library@gmail.com) or call the library at 563-6932",1,1,0,0,0,0,0
2820,333,9,Adult Volunteers are Welcome and would be greatly appreciated. Remember you need a signed waiver to participate! (Waivers are available @ the library),2,0,0,1,0,0,0
2821,333,9,Movie Night: Sabrina,0,0,0,1,0,0,0
2822,333,9,Lego Club is tomorrow!,1,0,0,0,0,0,0
2823,333,,event.,1,0,0,1,0,1,0
2824,333,9,"The weather looks great for this weekend! We hope to see you at the 10th Annual Reading the Greens this Saturday at the Anaconda Country Club! Remember, if you don't golf you can still attend the reception afterwards!",0,0,0,0,0,0,0
